problem_statement,entailment,contradiction
For k positive integers x 1 x 2 ldots x k the value gcd x 1 x 2 ldots x k is the greatest common divisor of the integers x 1 x 2 ldots x k the largest integer z such that all the integers x 1 x 2 ldots x k are divisible by z You are given three arrays a 1 a 2 ldots a n b 1 b 2 ldots b n and c 1 c 2 ldots c n of length n containing positive integers You also have a machine that allows you to swap a i and b i for any i 1 le i le n Each swap costs you c i coins Find the maximum possible value of gcd a 1 a 2 ldots a n gcd b 1 b 2 ldots b n that you can get by paying in total at most d coins for swapping some elements The amount of coins you have changes a lot so find the answer to this question for each of the q possible values d 1 d 2 ldots d q ,dp,math
Reziba has many magic gems Each magic gem can be split into M normal gems The amount of space each magic and normal gem takes is 1 unit A normal gem cannot be split Reziba wants to choose a set of magic gems and split some of them so the total space occupied by the resulting set of gems is N units If a magic gem is chosen and split it takes M units of space since it is split into M gems if a magic gem is not split it takes 1 unit How many different configurations of the resulting set of gems can Reziba have such that the total amount of space taken is N units Print the answer modulo 1000000007 10 9 7 Two configurations are considered different if the number of magic gems Reziba takes to form them differs or the indices of gems Reziba has to split differ ,math,data structures
In BerSoft n programmers work the programmer i is characterized by a skill r i A programmer a can be a mentor of a programmer b if and only if the skill of the programmer a is strictly greater than the skill of the programmer b r a r b and programmers a and b are not in a quarrel You are given the skills of each programmers and a list of k pairs of the programmers which are in a quarrel pairs are unordered For each programmer i find the number of programmers for which the programmer i can be a mentor ,implementation,math
Manao is taking part in a quiz The quiz consists of consecutive questions A correct answer gives one point to the player The game also has a counter of consecutive correct answers When the player answers a question correctly the number on this counter increases by 1 If the player answers a question incorrectly the counter is reset that is the number on it reduces to 0 If after an answer the counter reaches the number then it is reset and the player s score is doubled Note that in this case first 1 point is added to the player s score and then the total score is doubled At the beginning of the game both the player s score and the counter of consecutive correct answers are set to zero Manao remembers that he has answered exactly questions correctly But he does not remember the order in which the questions came He s trying to figure out what his minimum score may be Help him and compute the remainder of the corresponding number after division by ,math,data structures
Guy Manuel and Thomas have an array a of n integers a 1 a 2 dots a n In one step they can add 1 to any element of the array Formally in one step they can choose any integer index i 1 le i le n and do a i a i 1 What is the minimum number of steps they need to do to make both the sum and the product of all elements in the array Formally find the minimum number of steps to make a 1 a 2 dots a n ne 0 and a 1 cdot a 2 cdot dots cdot a n ne 0 ,implementation,data structures
Monocarp and Bicarp are playing a card game Each card has two parameters an attack value and a defence value A card s beats another card t if the attack of s is strictly greater than the defence of t Monocarp has n cards the i th of them has an attack value of mathit ax i and a defence value of mathit ay i Bicarp has m cards the j th of them has an attack value of mathit bx j and a defence value of mathit by j On the first move Monocarp chooses one of his cards and plays it Bicarp has to respond with his own card that beats that card After that Monocarp has to respond with a card that beats Bicarp s card After that it s Bicarp s turn and so forth It implies that each player always has the same set of cards to play as at the start of the game The game ends when the current player has no cards that beat the card which their opponent just played and the current player loses If the game lasts for 100 500 moves it s declared a draw Both Monocarp and Bicarp play optimally That is if a player has a winning strategy regardless of his opponent s moves he plays for a win Otherwise if he has a drawing strategy he plays for a draw You are asked to calculate three values the number of Monocarp s starting moves that result in a win for Monocarp the number of Monocarp s starting moves that result in a draw the number of Monocarp s starting moves that result in a win for Bicarp ,data structures,math
You are given n points on the plane The polygon formed from all the n points is that is the polygon is convex and there are no three collinear points i e lying in the same straight line The points are numbered from 1 to n in clockwise order We define the distance between two points p 1 x 1 y 1 and p 2 x 2 y 2 as their Manhattan distance d p 1 p 2 x 1 x 2 y 1 y 2 Furthermore we define the perimeter of a polygon as the sum of Manhattan distances between all adjacent pairs of points on it if the points on the polygon are ordered as p 1 p 2 ldots p k k geq 3 then the perimeter of the polygon is d p 1 p 2 d p 2 p 3 ldots d p k p 1 For some parameter k let s consider all the polygons that can be formed from the given set of points having k vertices such that the polygon is self intersecting For each such polygon let s consider its perimeter Over all such perimeters we define f k to be the maximal perimeter Please note when checking whether a polygon is self intersecting that the edges of a polygon are still drawn as straight lines For instance in the following pictures In the middle polygon the order of points p 1 p 3 p 2 p 4 is not valid since it is a self intersecting polygon The right polygon whose edges resemble the Manhattan distance has the same order and is not self intersecting but we consider edges as straight lines The correct way to draw this polygon is p 1 p 2 p 3 p 4 which is the left polygon Your task is to compute f 3 f 4 ldots f n In other words find the maximum possible perimeter for each possible number of points i e 3 to n ,dp,math
Polycarp and his friends want to visit a new restaurant The restaurant has n tables arranged along a straight line People are already sitting at some tables The tables are numbered from 1 to n in the order from left to right The state of the restaurant is described by a string of length n which contains characters the table is occupied and the table is empty Restaurant rules prohibit people to sit at a distance of k or less from each other That is if a person sits at the table number i then all tables with numbers from i k to i k except for the i th should be free In other words the absolute difference of the numbers of any two occupied tables must be strictly greater than k For example if n 8 and k 2 then strings satisfy the rules of the restaurant strings do not satisfy to the rules of the restaurant since each of them has a pair of with a distance less than or equal to k 2 In particular if the state of the restaurant is described by a string without or a string with one then the requirement of the restaurant is satisfied You are given a binary string s that describes the current state of the restaurant It is guaranteed that the rules of the restaurant are satisfied for the string s Find the maximum number of free tables that you can occupy so as not to violate the rules of the restaurant Formally what is the maximum number of that can be replaced by such that the requirement will still be satisfied For example if n 6 k 1 s then the answer to the problem will be 1 since only the table at position 3 can be occupied such that the rules are still satisfied ,greedy,data structures
You want to advertise your new business so you are going to place two posters on a billboard in the city center The billboard consists of n vertical panels of width 1 and varying integer heights held together by a horizontal bar The i th of the n panels has height h i Initially all panels hang down from the bar their top edges lie on it but before placing the two posters you are allowed to move each panel up by any integer length as long as it is still connected to the bar its bottom edge lies below or on it After the moves are done you will place two posters one below the bar and one above it They are not allowed to go over the bar and they must be positioned completely inside of the panels What is the maximum total area the two posters can cover together if you make the optimal moves ,data structures,math
You are given a sequence of n digits d 1d 2 dots d n You need to paint all the digits in two colors so that each digit is painted either in the color 1 or in the color 2 if you write in a row from left to right all the digits painted in the color 1 and then after them all the digits painted in the color 2 then the resulting sequence of n digits will be non decreasing that is each next digit will be greater than or equal to the previous digit For example for the sequence d 914 the only valid coloring is 211 paint in the color 1 two last digits paint in the color 2 the first digit But 122 is not a valid coloring 9 concatenated with 14 is not a non decreasing sequence It is allowed that either of the two colors is not used at all Digits painted in the same color are not required to have consecutive positions Find any of the valid ways to paint the given sequence of digits or determine that it is impossible to do ,implementation,data structures
Dima Vatrushin is a math teacher at school He was sent on vacation for n days for his good work Dima has long dreamed of going to a ski resort so he wants to allocate several and go skiing Since the vacation requires careful preparation he will only go for You are given an array a containing the weather forecast at the resort That is on the i th day the temperature will be a i degrees Dima was born in Siberia so he can go on vacation only if the temperature does not rise above q degrees throughout the vacation Unfortunately Dima was so absorbed in abstract algebra that he forgot how to count He asks you to help him and count the number of ways to choose vacation dates at the resort ,math,data structures
Recently a wild Krakozyabra appeared at Jelly Castle It is truth to be said always eager to have something for dinner Its favorite meal is natural numbers typically served with honey sauce or to be more precise the zeros in their corresponding decimal representations As for other digits Krakozyabra dislikes them moreover they often cause it indigestion So as a necessary precaution Krakozyabra prefers to sort the digits of a number in non descending order before proceeding to feast Then the leading zeros of the resulting number are eaten and the remaining part is discarded as an For example if Krakozyabra is to have the number for dinner its would be the number Slastyona is not really fond of the idea of Krakozyabra living in her castle Hovewer her natural hospitality prevents her from leaving her guest without food Slastyona has a range of natural numbers from to which she is going to feed the guest with Help her determine how many distinct are going to be discarded by Krakozyabra by the end of the dinner ,math,data structures
Simon has an array consisting of positive integers Today Simon asked you to find a pair of integers such that the following conditions hold there is integer such that all integers are divisible by value takes the maximum value among all pairs for which condition is true Help Simon find the required pair of numbers If there are multiple required pairs find all of them ,math,dp
Jamie is preparing a Codeforces round He has got an idea for a problem but does not know how to solve it Help him write a solution to the following problem Find integers such that the sum of two to the power of each number equals to the number and the largest integer in the answer is as small as possible As there may be multiple answers you are asked to output the lexicographically largest one To be more clear consider all integer sequence with length with Give a value to each sequence Among all sequence s that have the minimum value output the one that is the lexicographically largest For definitions of powers and lexicographical order see notes ,math,data structures
Pasha has many hamsters and he makes them work out Today hamsters is even came to work out The hamsters lined up and each hamster either sat down or stood up For another exercise Pasha needs exactly hamsters to stand up and the other hamsters to sit down In one minute Pasha can make some hamster ether sit down or stand up How many minutes will he need to get what he wants if he acts optimally well ,implementation,math
Gerald has younger brothers and their number happens to be even One day he bought candy bags One bag has one candy one bag has two candies one bag has three candies and so on In fact for each integer from to he has exactly one bag with candies Help him give bags of candies to each brother so that all brothers got the same number of candies ,implementation,math
There are n lanterns in a row The lantern i is placed in position i and has power equal to p i Each lantern can be directed to illuminate either some lanterns to the left or some lanterns to the right If the i th lantern is turned to the left it illuminates all such lanterns j that j in i p i i 1 Similarly if it is turned to the right it illuminates all such lanterns j that j in i 1 i p i Your goal is to choose a direction for each lantern so each lantern is illuminated by at least one other lantern or report that it is impossible ,dp,math
Each evening after the dinner the SIS s students gather together to play the game of Sport Mafia For the tournament Alya puts candies into the box which will serve as a prize for a winner To do that she performs n actions The first action performed is to put a single candy into the box For each of the remaining moves she can choose from two options the first option in case the box contains at least one candy is to take This way the number of candies in the box decreased by 1 the second option is to put candies in the box In this case Alya will put 1 more candy than she put in the previous time Thus if the box is empty then it can only use the second option For example one possible sequence of Alya s actions look as follows put one candy into the box put two candies into the box eat one candy from the box eat one candy from the box put three candies into the box eat one candy from the box put four candies into the box eat one candy from the box put five candies into the box This way she will perform 9 actions the number of candies at the end will be 11 while Alya will eat 4 candies in total You know the total number of actions n and the number of candies at the end k You need to find the total number of sweets Alya ate That is the number of moves of the first option It s guaranteed that for the given n and k the answer always exists Please note that during an action of the first option Alya takes out and eats exactly one candy ,math,greedy
Methodius received an email from his friend Polycarp However Polycarp s keyboard is broken so pressing a key on it once may cause the corresponding symbol to appear more than once if you press a key on a regular keyboard it prints exactly one symbol For example as a result of typing the word the following words be printed but the following be printed Note that when you press a key the corresponding symbol must appear possibly more than once The keyboard is broken in a random manner it means that pressing the same key you can get the different number of letters in the result For each word in the letter Methodius has guessed what word Polycarp actually wanted to write but he is not sure about it so he asks you to help him You are given a list of pairs of words For each pair determine if the second word could be printed by typing the first one on Polycarp s keyboard ,implementation,data structures
You are given a tree with n weighted vertices labeled from 1 to n rooted at vertex 1 The parent of vertex i is p i and the weight of vertex i is a i For convenience define p 1 0 For two vertices x and y define f x y as follows Initialize mathrm ans 0 While both x and y are not 0 mathrm ans leftarrow mathrm ans a x cdot a y x leftarrow p x y leftarrow p y f x y is the value of mathrm ans You will process q queries In the i th query you are given two integers x i and y i and you need to calculate f x i y i dagger The depth of vertex v is the number of edges on the unique simple path from the root of the tree to vertex v ,data structures,math
For a permutation p of numbers 1 through n we define a a as follows a i is length of the longest segment of permutation which contains position i and is made of consecutive values in sorted order x x 1 ldots y 1 y or y y 1 ldots x 1 x for some x leq y For example for permutation p 4 1 2 3 7 6 5 we have a 1 3 3 3 3 3 3 You are given the stair array a Your task is to calculate the number of permutations which have stair array equal to a Since the number can be big compute it modulo 998 244 353 Note that this number can be equal to zero ,math,data structures
